Id,SalePrice
1461.0,198952.97
1462.0,181705.9
1463.0,223695.38
1464.0,195337.67
1465.0,250184.38
1466.0,143347.97
1467.0,305879.97
1468.0,227005.94
1469.0,129180.36
1470.0,123149.46
1471.0,129615.945
1472.0,341526.3
1473.0,143424.38
1474.0,275011.88
1475.0,156437.08
1476.0,132125.64
1477.0,147357.66
1478.0,91288.375
1479.0,158645.06
1480.0,129704.3
1481.0,326073.38
1482.0,138920.98
1483.0,230086.0
1484.0,130497.42
1485.0,145697.47
1486.0,256403.67
1487.0,134691.39
1488.0,304819.84
1489.0,206982.03
1490.0,68805.555
1491.0,41930.703
1492.0,148215.61
1493.0,180163.47
1494.0,175698.12
1495.0,279592.34
1496.0,308719.47
1497.0,145999.52
1498.0,153057.0
1499.0,141259.34
1500.0,91860.69
1501.0,158022.2
1502.0,149314.02
1503.0,144996.22
1504.0,130280.92
1505.0,140272.89
1506.0,318373.0
1507.0,285315.8
1508.0,263798.0
1509.0,120425.51
1510.0,126020.34
1511.0,178824.47
1512.0,115479.516
1513.0,110225.15
1514.0,385077.72
1515.0,130183.8
1516.0,167552.4
1517.0,173258.55
1518.0,193961.16
1519.0,380133.34
1520.0,123949.97
1521.0,157509.6
1522.0,101555.99
1523.0,202901.03
1524.0,157610.3
1525.0,219285.88
1526.0,289662.62
1527.0,247037.3
1528.0,200069.48
1529.0,78189.14
1530.0,229858.36
1531.0,300244.47
1532.0,129818.96
1533.0,185910.81
1534.0,144763.64
1535.0,107638.45
1536.0,91460.77
1537.0,119681.79
1538.0,127242.78
1539.0,135632.05
1540.0,110447.95
1541.0,192806.23
1542.0,153639.6
1543.0,244014.84
1544.0,127258.28
1545.0,169178.14
1546.0,259446.06
1547.0,173924.44
1548.0,164102.67
1549.0,88985.305
1550.0,128341.98
1551.0,105369.72
1552.0,99152.46
1553.0,162976.27
1554.0,134198.45
1555.0,205065.61
1556.0,184516.0
1557.0,215947.08
1558.0,96901.28
1559.0,81844.81
1560.0,129928.11
1561.0,205115.48
1562.0,178018.86
1563.0,118983.52
1564.0,197995.75
1565.0,169247.95
1566.0,249548.8
1567.0,98444.43
1568.0,112292.07
1569.0,115254.54
1570.0,190345.73
1571.0,136207.72
1572.0,178818.73
1573.0,271424.06
1574.0,216531.89
1575.0,210617.19
1576.0,175995.98
1577.0,139153.7
1578.0,139952.17
1579.0,320219.47
1580.0,166672.9
1581.0,179203.81
1582.0,98922.43
1583.0,136693.1
1584.0,169805.97
1585.0,181467.89
1586.0,84304.12
1587.0,129567.81
1588.0,87435.42
1589.0,154316.89
1590.0,170845.12
1591.0,227173.17
1592.0,240951.11
1593.0,155321.53
1594.0,220917.31
1595.0,179823.25
1596.0,174427.2
1597.0,143884.98
1598.0,171479.3
1599.0,229029.45
1600.0,230582.34
1601.0,98240.75
1602.0,248874.89
1603.0,165124.48
1604.0,212946.55
1605.0,124992.695
1606.0,127393.266
1607.0,104366.305
1608.0,221205.55
1609.0,154661.88
1610.0,114713.516
1611.0,142900.03
1612.0,371513.5
1613.0,190165.55
1614.0,234573.22
1615.0,124490.91
1616.0,78256.61
1617.0,110263.56
1618.0,269045.16
1619.0,234249.16
1620.0,278143.5
1621.0,160556.05
1622.0,412408.5
1623.0,221196.3
1624.0,101462.7
1625.0,150599.64
1626.0,127348.01
1627.0,190529.97
1628.0,356303.28
1629.0,184272.53
1630.0,228173.84
1631.0,114578.31
1632.0,215000.45
1633.0,190556.56
1634.0,164087.66
1635.0,193952.58
1636.0,241741.77
1637.0,211442.62
1638.0,169805.27
1639.0,501870.03
1640.0,99362.266
1641.0,174627.3
1642.0,199398.61
1643.0,119967.086
1644.0,200647.55
1645.0,126803.98
1646.0,474637.1
1647.0,184926.03
1648.0,134408.22
